"mac_local","mac_destino","latencia_prom","latencia_var","min_lat","max_lat","rssi_prom","rssi_var","rssi_min","rssi_max","lqi_prom","lqi_var","lqi_min","lqi_max"
"0002","0002",0.28149840595958,0.807927513611688,4.76837158203125e-05,5.15588140487671,-99.956043956044,13.9758241758242,-103,-67,94.1648351648352,271.49474969475,48,108
"0004","0002",0.227718083922927,0.649309174695857,0.0567560195922852,7.33191251754761,-94.3675675675676,58.2119858989425,-102,-82,102.189189189189,140.121621621621,31,108
"0005","0002",0.0915717124938965,0.00365690379019401,4.07695770263672e-05,0.506346940994263,-81.3,432.355395683453,-103,-40,103.35,100.114028776978,61,108
"0006","0002",0.193070551201149,0.68681965339037,0.0425419807434082,8.38255643844604,-79.0259259259259,74.8060167974666,-102,-70,106.440740740741,31.7046537243562,77,108
"0008","0002",0.120563178122798,0.00282968616746422,0.0481655597686768,0.399741411209106,-99.4810126582279,106.509250243427,-103,-36,98,162.769230769231,71,108
"0010","0002",0.157139555714763,0.264206077777896,0.047222375869751,5.14684009552002,-98.877529286475,45.6385030575102,-103,-68,103.843450479233,94.4413509812867,58,108
"0014","0002",0.19006308363231,0.633167244982291,4.17232513427734e-05,5.11098003387451,-62.3261802575107,440.720734053575,-99,-39,104.527896995708,117.138227023828,55,108
"0002","0004",0.235507649918125,0.677263699768688,4.76837158203125e-05,5.15588140487671,-65.013698630137,164.468776570619,-91,-55,101.691780821918,238.407794048181,30,108
"0004","0004",0.295229259404269,0.940431258359468,0.0850827693939209,7.33191251754761,-56.9272727272727,1.70108423686406,-61,-55,104.509090909091,80.8393661384487,76,108
"0005","0004",0.0967535446216534,0.00426892661585879,4.07695770263672e-05,0.506346940994263,-69.1168831168831,186.012392835922,-98,-55,106.532467532468,31.4793311263898,81,108
"0006","0004",0.187701984931683,0.639771253193632,4.50611114501953e-05,8.38255643844604,-70.8620689655172,45.5241617945353,-87,-56,107.741379310345,7.38963130891306,62,108
"0008","0004",0.199387635873712,0.505387734153606,0.0481655597686768,6.91159248352051,-57.804347826087,29.4118490205447,-94,-55,102.108695652174,138.559483994267,49,108
"0010","0004",0.156953343413691,0.263374639297198,0.047222375869751,5.14684009552002,-57.5286624203822,22.2685718540379,-78,-53,105.394904458599,57.937402275666,60,108
"0014","0004",0.163399773094275,0.531640140747372,4.17232513427734e-05,5.11098003387451,-85.5107296137339,175.414755068818,-101,-57,101.858369098712,317.475543880422,19,108
"0002","0005",0.205458894907999,0.53858578941658,4.76837158203125e-05,5.15588140487671,-89.2086330935252,286.818475654259,-102,-56,101.007194244604,208.818788447503,35,108
"0004","0005",0.221496874246842,0.616573829795922,0.0567560195922852,7.33191251754761,-92.0153846153846,79.7574940523395,-102,-72,103.533333333333,181.53883161512,31,108
"0005","0005",0.131705155317811,0.00466679671940283,4.07695770263672e-05,0.506346940994263,-98.816091954023,30.7797380379578,-102,-57,103.505747126437,83.4389200748463,80,108
"0006","0005",0.187701984931683,0.639771253193632,4.50611114501953e-05,8.38255643844604,-69.7241379310345,190.041283856342,-101,-57,106.275862068966,56.2419758978643,35,108
"0008","0005",0.199387635873712,0.505387734153606,0.0481655597686768,6.91159248352051,-99.2282608695652,12.6396321070234,-102,-77,95.3478260869565,262.88867654085,63,108
"0010","0005",0.158381723346132,0.270701967958081,0.047222375869751,5.14684009552002,-95.4654545454545,100.715127978817,-102,-57,105.363636363636,46.9112974404239,56,108
"0014","0005",0.167503403178577,0.533668091099107,0.0357100963592529,5.11098003387451,-72.5431034482759,184.240558292283,-101,-58,104.340517241379,111.88787505598,55,108
"0002","0006",0.23738739831107,0.704566887083539,0.000120401382446289,5.15588140487671,-93.0071428571429,84.4244090441932,-103,-69,101.285714285714,244.335046248716,30,108
"0004","0006",0.223074029253415,0.629405669344946,0.0567560195922852,7.33191251754761,-88.6544502617801,127.848387985671,-103,-72,105.523560209424,51.3665472581977,76,108
"0005","0006",0.0955446751912435,0.00431026096515605,4.07695770263672e-05,0.506346940994263,-84.38,254.975436241611,-103,-60,106.433333333333,27.0525727069352,82,108
"0006","0006",0.495247281115988,1.5566176983652,4.50611114501953e-05,5.1910707950592,-97.9347826086957,25.3956521739131,-103,-69,107.478260869565,9.63285024154589,87,108
"0008","0006",0.199857744677313,0.534734662254326,0.0481655597686768,6.91159248352051,-97.2413793103448,8.0689655172414,-103,-85,104.310344827586,68.2397754611068,76,108
"0010","0006",0.150032810292392,0.228219430470607,0.0851342678070068,5.11473608016968,-95.9585730724971,9.82547077259204,-103,-91,104.311852704258,81.0236035911819,60,108
"0014","0006",0.19319133122762,0.655617081916964,4.17232513427734e-05,5.11098003387451,-81.7022222222222,144.02253968254,-99,-60,106.231111111111,37.3481349206348,77,108
"0002","0008",0.0379981994628906,3.21634161082329e-07,0.0375971794128418,0.0383992195129395,-39,0,-39,-39,108,0,108,108
"0005","0008",0.0546737909317017,3.05807174470374e-05,0.0507979393005371,0.0650405883789062,-83.5,12.3,-88,-81,108,0,108,108
"0006","0008",0.208582842791522,1.28461138046837,0.0425419807434082,8.38255643844604,-85.2962962962963,3.15583508036338,-92,-82,107.925925925926,0.0698812019566736,107,108
"0010","0008",0.153112838012537,0.260266090493486,0.047222375869751,5.14684009552002,-98.318339100346,45.9885861207228,-103,-79,89.7785467128028,283.2007881584,64,108
"0002","0010",0.0325861771901449,0.000254352487642488,4.76837158203125e-05,0.0398659706115723,-99.6666666666667,0.666666666666667,-101,-99,107.666666666667,0.666666666666667,106,108
"0004","0010",0.126078493454877,0.187338190268033,0.0567560195922852,4.06829810142517,-56.7176470588235,2.34789915966386,-61,-55,107.882352941176,0.128851540616247,106,108
"0005","0010",0.0513686172997774,0.000113859127707579,4.26769256591797e-05,0.10405707359314,-102.641791044776,1.23337856173677,-105,-100,107.328358208955,5.70872908186341,92,108
"0006","0010",0.0947649102461965,0.181298952153278,0.0429451465606689,5.12872242927551,-94.2280701754386,86.8023804003401,-102,-48,105.706140350877,51.8383762269109,70,108
"0010","0010",0.266553284691983,0.815476203188851,0.047222375869751,5.14684009552002,-99.0655737704918,1.69562841530054,-102,-96,104.049180327869,111.98087431694,63,108
"0014","0010",0.163302627842078,0.552951098320806,4.17232513427734e-05,5.06159043312073,-94.0786516853933,260.219767663302,-105,-58,107.151685393258,43.4514378213673,50,108
"0002","0014",0.0613158489095754,0.00117577966478151,4.76837158203125e-05,0.131767272949219,-65.5862068965517,885.124016938899,-102,-40,96.5689655172414,416.003932244405,48,108
"0004","0014",0.148007229963938,0.265052266054019,0.0567560195922852,4.06829810142517,-96.1666666666667,19.4632768361582,-101,-89,107.416666666667,7.3319209039548,89,108
"0005","0014",0.050220912502658,0.000161459202500087,4.1961669921875e-05,0.10405707359314,-68.6612903225806,23.5391327340032,-75,-41,107.177419354839,6.41062929666844,92,108
"0006","0014",0.158715530883434,0.364070340755037,4.50611114501953e-05,4.02130126953125,-90.2558139534884,91.2901439645625,-98,-41,107.348837209302,4.32779623477299,96,108
"0010","0014",0.10783261266248,0.000154415812259877,0.0893123149871826,0.140439748764038,-101.344827586207,0.876847290640394,-102,-99,89.7586206896552,300.546798029557,63,108
"0014","0014",0.178077641655417,0.582356362062373,4.17232513427734e-05,5.11098003387451,-78.3411764705882,439.445040027846,-101,-42,102.541176470588,365.610720501219,19,108
